"DATETIME","COUNT","DOW","HOUR","DAY"
2013-01-05 14:00:00,10,"Saturday",14,5
2013-01-05 15:00:00,13,"Saturday",15,5
2013-01-05 16:00:00,9,"Saturday",16,5
2013-01-05 17:00:00,7,"Saturday",17,5
2013-01-05 18:00:00,9,"Saturday",18,5
2013-01-05 19:00:00,11,"Saturday",19,5
2013-01-05 20:00:00,12,"Saturday",20,5
2013-01-05 21:00:00,15,"Saturday",21,5
2013-01-05 22:00:00,15,"Saturday",22,5
2013-01-05 23:00:00,14,"Saturday",23,5
2013-01-06 00:00:00,12,"Sunday",0,6
2013-01-06 01:00:00,7,"Sunday",1,6
2013-01-06 02:00:00,5,"Sunday",2,6
2013-01-06 03:00:00,4,"Sunday",3,6
2013-01-06 04:00:00,4,"Sunday",4,6
2013-01-06 05:00:00,3,"Sunday",5,6
2013-01-06 06:00:00,6,"Sunday",6,6
2013-01-06 07:00:00,5,"Sunday",7,6
2013-01-06 08:00:00,3,"Sunday",8,6
2013-01-06 09:00:00,2,"Sunday",9,6
2013-01-06 10:00:00,4,"Sunday",10,6
2013-01-06 11:00:00,7,"Sunday",11,6
2013-01-06 12:00:00,11,"Sunday",12,6
2013-01-06 13:00:00,8,"Sunday",13,6
2013-01-06 14:00:00,9,"Sunday",14,6
2013-01-06 15:00:00,5,"Sunday",15,6
2013-01-06 16:00:00,12,"Sunday",16,6
2013-01-06 17:00:00,14,"Sunday",17,6
2013-01-06 18:00:00,12,"Sunday",18,6
2013-01-06 19:00:00,6,"Sunday",19,6
2013-01-06 20:00:00,8,"Sunday",20,6
2013-01-06 21:00:00,11,"Sunday",21,6
2013-01-06 22:00:00,9,"Sunday",22,6
2013-01-06 23:00:00,8,"Sunday",23,6
2013-01-07 00:00:00,1,"Monday",0,7
2013-01-07 01:00:00,1,"Monday",1,7
2013-01-07 02:00:00,1,"Monday",2,7
2013-01-07 03:00:00,1,"Monday",3,7
2013-01-07 04:00:00,1,"Monday",4,7
2013-01-07 05:00:00,1,"Monday",5,7
2013-01-07 06:00:00,1,"Monday",6,7
2013-01-07 07:00:00,3,"Monday",7,7
2013-01-07 08:00:00,1,"Monday",8,7
2013-01-07 09:00:00,4,"Monday",9,7
2013-01-07 10:00:00,2,"Monday",10,7
2013-01-07 11:00:00,7,"Monday",11,7
2013-01-07 12:00:00,6,"Monday",12,7
2013-01-07 13:00:00,9,"Monday",13,7
2013-01-07 14:00:00,17,"Monday",14,7
2013-01-07 15:00:00,18,"Monday",15,7
2013-01-07 16:00:00,15,"Monday",16,7
2013-01-07 17:00:00,14,"Monday",17,7
2013-01-07 18:00:00,9,"Monday",18,7
2013-01-07 19:00:00,7,"Monday",19,7
